epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.309,1.75304,4.7503,1.85016,0.99071,0.14286,0.3804,0.22892,1.14471,4.08423,1.20203,0.000300295,0.000300295,0.000300295
2,353.927,1.4699,4.01622,1.5513,0.33031,0.71429,0.46332,0.36128,1.05257,3.5123,1.2161,0.000583386,0.000583386,0.000583386
3,570.497,1.45431,3.68568,1.53875,0.832,0.42857,0.61279,0.44159,1.06356,3.40093,1.25002,0.000846479,0.000846479,0.000846479
4,782.01,1.39812,3.2147,1.43397,0.76294,0.57143,0.77389,0.58966,0.99136,2.93596,1.227,0.000819009,0.000819009,0.000819009
5,965.228,1.38209,2.9775,1.42991,0.63245,0.74112,0.92393,0.66807,1.19874,2.9988,1.26895,0.000789012,0.000789012,0.000789012
6,1129.69,1.33598,2.84657,1.41547,0.67084,1,0.995,0.7827,0.93953,2.21949,1.14567,0.000759015,0.000759015,0.000759015
7,1297.78,1.29735,2.52024,1.3965,0.95017,0.85714,0.92393,0.75336,0.87428,2.13907,1.1213,0.000729018,0.000729018,0.000729018
8,1476.39,1.30033,2.54323,1.39149,0.80686,1,0.995,0.78179,1.01089,2.35115,1.26122,0.000699021,0.000699021,0.000699021
9,1654.91,1.28756,2.27279,1.39201,0.96007,0.85714,0.995,0.73914,0.96841,2.26284,1.2632,0.000669024,0.000669024,0.000669024
10,1820.07,1.30143,2.28234,1.39764,0.65188,1,0.995,0.78179,0.96268,1.88708,1.20297,0.000639027,0.000639027,0.000639027
11,1960.34,1.26895,2.18571,1.40123,0.84879,1,0.995,0.83864,0.88401,2.00809,1.13037,0.00060903,0.00060903,0.00060903
12,2098.45,1.25678,2.1601,1.38251,0.94398,1,0.995,0.796,1.02187,1.68737,1.16648,0.000579033,0.000579033,0.000579033
13,2224.58,1.20942,1.86352,1.33555,0.95512,1,0.995,0.71782,1.04095,1.5934,1.25528,0.000549036,0.000549036,0.000549036
14,2374.61,1.15591,1.89209,1.31922,0.9566,0.85714,0.995,0.72493,0.97699,1.58926,1.19998,0.000519039,0.000519039,0.000519039
15,2529.26,1.24544,1.92877,1.35738,0.91813,1,0.995,0.78179,0.98893,1.63163,1.20573,0.000489042,0.000489042,0.000489042
16,2674.13,1.16729,1.8756,1.33552,0.94474,1,0.995,0.796,0.88968,1.60797,1.20808,0.000459045,0.000459045,0.000459045
17,2820.78,1.13379,1.62765,1.30656,0.92446,1,0.995,0.76757,0.93923,1.47124,1.20573,0.000429048,0.000429048,0.000429048
18,2975.23,1.12942,1.56827,1.28009,0.95691,1,0.995,0.796,0.8604,1.36015,1.18856,0.000399051,0.000399051,0.000399051
19,3099.44,1.10547,1.66863,1.30244,0.94551,1,0.995,0.75336,0.94176,1.46436,1.22248,0.000369054,0.000369054,0.000369054
20,3255.8,1.13977,1.5518,1.28922,0.93682,1,0.995,0.78889,0.84242,1.37,1.15,0.000339057,0.000339057,0.000339057
21,3403.19,1.00368,1.55635,1.2496,0.90481,1,0.995,0.74625,0.95355,1.42737,1.21263,0.00030906,0.00030906,0.00030906
22,3549.41,1.00094,1.52474,1.25416,0.96172,1,0.995,0.76374,0.87867,1.59858,1.23438,0.000279063,0.000279063,0.000279063
23,3684.85,0.99241,1.43558,1.22395,0.90657,1,0.995,0.77468,0.84513,1.59919,1.18547,0.000249066,0.000249066,0.000249066
24,3815.88,0.95388,1.4465,1.20614,0.94137,1,0.995,0.7543,0.92461,1.53188,1.21929,0.000219069,0.000219069,0.000219069
25,3981.31,0.9513,1.37173,1.19359,0.94733,1,0.995,0.78308,0.85224,1.52824,1.16647,0.000189072,0.000189072,0.000189072
26,4130.7,0.9189,1.34643,1.19799,0.93886,1,0.995,0.82443,0.80793,1.33562,1.13008,0.000159075,0.000159075,0.000159075
27,4247.56,0.96273,1.35427,1.22927,0.92607,1,0.995,0.81021,0.84193,1.28637,1.14455,0.000129078,0.000129078,0.000129078
28,4415.37,0.89606,1.32979,1.18617,0.93585,1,0.995,0.76915,0.84617,1.36077,1.16383,9.9081e-05,9.9081e-05,9.9081e-05
29,4589.66,0.92842,1.30313,1.19711,0.94174,1,0.995,0.81021,0.85562,1.33513,1.17674,6.9084e-05,6.9084e-05,6.9084e-05
30,4737.26,0.90834,1.27753,1.16275,0.93958,1,0.995,0.81021,0.8589,1.42347,1.17406,3.9087e-05,3.9087e-05,3.9087e-05
